date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:35	17741/17741	---M-Z	200	added ('OK')	application/javascript	etag:%225f8484a6-454d%22	https://cdnjs.cloudflare.com/ajax/libs/animejs/3.2.1/anime.min.js	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdnjs.cloudflare.com/ajax/libs/animejs/3.2.1/anime.min.js	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:35	637037/637037	---M--	200	added ('OK')	image/jpeg	etag:%2295b604f5393a58a004be1e33e9a52670%22	https://sin1.contabostorage.com/2db3bf1e16cd47a08843bb881e39cce7:indoinvite-staging/indoinvite-staging/indoinvite-staging/nikah/upload/galery/19521702517848.jpg	C:/Users/julia/OneDrive/Desktop/Project%20Arip/sin1.contabostorage.com/2db3bf1e16cd47a08843bb881e39cce7_indoinvite-staging/indoinvite-staging/indoinvite-staging/nikah/upload/galery/19521702517848.jpg	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:35	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/Users/julia/OneDrive/Desktop/Project%20Arip/unpkg.com/aos@2.3.1/dist/aos.js	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:35	2966/2966	---M-Z	200	added ('OK')	application/javascript	etag:%22b96-60cfa61bb6aec-gzip%22	https://indoinvite.com/snow/PureSnow.js	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/snow/PureSnow.js	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:36	118391/118391	---M-Z	200	added ('OK')	application/javascript	etag:W/%221ce77-TEo68fXEfZr/bQy1tvD83Jm5gfk%22	https://cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/lightgallery.umd.js	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/lightgallery.umd.js	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:36	41292/41292	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a14c-K/uQywjrzb7KcbqriXyF+5PkHbU%22	https://cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/plugins/zoom/lg-zoom.umd.js	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/plugins/zoom/lg-zoom.umd.js	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:36	45856/45856	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b320-ypAy3KKCDLKpXtna286T2Zj/hmE%22	https://cdn.jsdelivr.net/npm/justifiedGallery@3.8.1/dist/js/jquery.justifiedGallery.js	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/justifiedGallery@3.8.1/dist/js/jquery.justifiedGallery.js	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:38	21195/21195	---M-Z	200	added ('OK')	application/javascript	etag:W/%2252cb-Zna6KgHxPtdHoeXUQemZ+OByyO8%22	https://cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/plugins/thumbnail/lg-thumbnail.umd.js	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/plugins/thumbnail/lg-thumbnail.umd.js	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:38	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Tue,%2009%20Jan%202024%2009:15:35%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/julia/OneDrive/Desktop/Project%20Arip/translate.google.com/translate_a/element.5ea0d8.delayed	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:38	97419/97419	---MC-	200	added ('OK')	text/javascript	date:Tue,%2009%20Jan%202024%2009:15:36%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/julia/OneDrive/Desktop/Project%20Arip/translate.google.com/translate_a/elementa0d8.js	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:39	27577/27577	---M-Z	200	added ('OK')	application/javascript	etag:W/%226bb9-P9vAOYhrKciKdZf0du55ytdYRN8%22	https://cdn.jsdelivr.net/npm/@splidejs/splide@3.6.12/dist/js/splide.min.js	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/@splidejs/splide@3.6.12/dist/js/splide.min.js	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:39	4178/4178	---M--	200	added ('OK')	image/gif	etag:W/%221052-Fadq8nOUgtjec1SrxtjcT8qNFF4%22	https://cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/images/loading.gif	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/images/loading.gif	(from https://cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/css/lightgallery.css)
16:15:39	497/497	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jan%202024%2009:15:37%20GMT	https://indoinvite.com/nikah/css/owl.video.play.png	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/css/owl.video.play.62.delayed	(from https://indoinvite.com/nikah/css/owl.carousel.min.css)
16:15:40	48068/48068	---M--	200	added ('OK')	image/gif	etag:%22bbc4-60cfa618d8513%22	https://indoinvite.com/nikah/images/loader.gif	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/images/loader.gif	(from https://indoinvite.com/nikah/css/style.css)
